n_layer1;dropout;n_layer2;act;optim;n_batch;best_val_acc
128;0.3685849187307607;256;leakyrelu;sgd;256;0.39259999990463257
256;0.41833334235579095;512;swish;rmsprop;64;0.30570000410079956
512;0.48790925917284717;512;swish;adam;64;0.36880001425743103
256;0.42221220495036493;256;relu;adam;128;0.3628999888896942
512;0.06874772122693129;512;swish;rmsprop;128;0.3529999852180481
